question,answer
i am on my own with my daughter i am so worried and stressed about her,your instinct to help your daughter is naturalhow you proceed depends a lot on whether she recognizes she has a psychological and emotional problem or if only you see this from observing heralso her age matters a lot in what way would be most likely to succeed in addressing the problems you describeif you and your daughter have different opinions as to whether or not she has problems and she is above the legal age of when you have authority over her life then you can only suggest to her that therapy may benefit herif your daughter is in your legal control then you can locate a counselor nearby discuss your situation with that person and depending on the outcome youd be within your parenting right to take your daughter to a counselorstarting therapy without willingness to do so is risky  the person may feel resentful enough to not participate  and sometimes the counselor is skillful enough to find a path to your daughter or any patients selfinterest and engage them in therapyfamily counseling regardless of your daughters age is another way to bring your concerns to your daughters attention in a therapy environment in which a counselor would be able to help distinguish the seriousness of your daughters psychological problem from simply a difference in viewpoints between you and your daughter in how to handle certain situationsalso if you believe your daughter is a threat to herself then instead of this slower route get in touch with the emergency psychological assessment service in your town for a more immediate response
i just had a newborn when i brought him home my mom told me to leave now im in a womens home i dont see my boyfriend that often because he works the womens place is helping me find an apartment so i can go back to work and get child care,congrats on the birth of your sonwas your moms request for you to leave her house one which she asked awhile ago or was this her greeting when you walked in the doormy question is whether your mom had some changed circumstance in her life whether she and you discussed living arrangements prior to your sons birth or whether nothing was talked about you assumed youd be living with her she assumed you wouldnt and the two of you didnt speak to one another about any of thisdepending on the answers there may be clues as to handling future expectations of others especially your momfrom what you write the womens home is supportive of your basic daily living needs  it is good news that the people who run this home know and offer community resourcesin your interactions with the staff of the womens home ask all the questions necessary so youll have a clear understanding of the apartment lease anything at all that is on your mind about becoming employed and finding childcarethe point is to have all the major steps youre about to start addressedthis way youll be minimizing the possibility of any sudden bad news by the womens home told to yousending lots of good luck
i have experienced cycles of depression for the past four years and it hits me harder every time it comes back this past time it was extremely debilitating so i went on wellbutrin i could feel the effects of the medicine after the first week a month and a half later i decided that my depression was being caused by my own unwillingness to move forward and address my behaviors and thoughts that were keeping me in a place of despair i became worried that the medicine was making me complacent and prohibiting me from working out what i needed to in my life to bring back true fulfillment i stopped taking it a month ago and feel okay a lot of the anxiety it was paired with has gone away however i still dont feel my sense of self has been completely regained and i have days where i feel a zombielike haze of having no interests or the ability to fully concentrate on anything is it better to continue letting time and good habits work out the remaining depression or should i go back on the medicine,deciding whether or not psychiatric medicine is a good option can be complicated as you have noticed and only a person who is licensed to prescribe can give you medical advice regarding medications while there is sometimes relief from symptoms from medication as you have pointed out there are often negative side effects as well while i cant give you advice on whether or not to continue medication i would urge you to take an inventory of the positive and negative effects that you have noticed and educate yourself as much as possible about the short and longterm costs and benefits of psychiatric medication if you can find a doctor psychiatrist or arnp who is competent in mental health it may also benefit you to consult with themone thing that i am wondering about is what is your support system like in regards to your fight against depression are you seeing a therapist or attending any therapeutic or supportive group while there are many things that one can do on their own to work through challenges such as depression psychotherapy has been shown time and again in research to be highly effective and sometimes having a relationship with a caring competent professional who understands depression and ways of helping can make a huge difference
at school it feels like ive lost all my friends and ive been really weird with my sleeping patterns i used to cut myself and i really want to again but i change in the locker rooms because i dont want anybody to see i get ticked off easy and overreact at night im very depressed and listen to sad music and all that sort of stuff please help me i just want to be happy again and i feel like im starting to fake a smile at school,as silly as it may sound making sure that we are getting the right amount of restful sleep is very important when we are feeling low  the reason for this is the lack of proper sleep significantly affects our ability to problem solve and critically evaluate our situation and can lead to a domino effect in our thinking  i know you feel that you may be losing your friendships but what are the facts that have led to this belief really ask yourself are they facts or are they your perspective on events  in regards to your coping behaviours at night it sounds very isolating and also very silenced  as opposed to the sad music why not try all music allowing yourself to experience the wide breadth of emotions that are circling within you  one of the other recommendations i would make would be to try and journal about some of those thoughts and fears in order to release them in a positively cathartic way some of the behaviours that you have mentioned are a bit more significant though and i would recommend speaking with someone directly in the near future
i think about death all the time because i feel so alone i want someone to love and someone to love me,feeling alone andor isolated is almost always associated with being depressed as humans we need connection and interaction with others in order to feel satisfied given that you are frequently thinking about death i highly recommend that you see a mental health professional as soon as possible to help assess your immediate needs and address any underlying issues that may be contributing to your feelings of loneliness and depression the good news is that with proper consistent treatment and commitment to change things can really turn around for you a therapist can work with you on building enjoyable activities into your daily routine change maladaptive thought patterns that contribute to your sadness and help with exploring what has gotten you to where you are by learning about where your sadness originates engaging in preferred activities and changing your thought patterns you should begin feeling relief from the burden of depression what will likely result is further opportunity to find social outlets and an increased ability to connect with others dont give up create some short terms goals that you can likely achieve and make your treatment a priority and a focus you have already taken the first step in getting better by writing to this site keep on this path and believe in yourself best of luck to you
i think about death all the time because i feel so alone i want someone to love and someone to love me,hi ohioim so glad you reached out i urge you to talk to someone close to you today about your feelings and to also seek professional help for your serious thoughts and feelings we want you to be safe and your depression is treatableloneliness is so painful and when we feel lonely this can lead to fears that we are not worthy of love or that the world is just a cold and lonely place neither are truths only thoughts once we have fears like this though we start to pull away from people the fears keep us isolated which makes the thoughts worse and the cycle continues we all have a place in this world we all have value we all deserve love and there are safe wonderful people out there waiting to meet you and care for you can you take a moment right now to become more in touch with three things first who in your life if they were sitting beside you right now would say wait a minutei love you what is the evidence that you are already cared about then ask yourself what is the evidence that i am lovable what qualities do you have that make you a good friend or person the third question is what tells you the world is a good place what evidence do you see that there are people out there who care about others please reach out to someone today as you ask yourself those questions i wish you the best
my fiancãe suffers from severe anxiety and depression she has had it most of her life her anxiety in public places is the worst it gets to points where she cant breathe or move sometimes she wont even go to the restroom so she will hold in her pee until her stomach hurts or she pees herself she curls up in corners at the mall and has panic attacks she wont eat or drink in public if she isnt having a panic attack or crying shes clinging to me and avoiding everything and everyone her depression flares up out of nowhere and causes her to become very suicidal and selfharming she get really sick from anxiety and scared to the point that i cant even get her to eat drink leave the bed or go outside she always tells me how she grew up around so much fighting and fear that it makes her scared of loud sounds yelling conflict and even talking to strangers in public she will refuse to go to a store unless i am with her to talk to the cashier for her she is so scared that i cant even get her to drive she doesnt want to get her license because shes scared of trying to drive some people have recommended medication but i believe its just going to cover up her illness and not solve it i dont want my fiancãe pumped with drugs i believe a psychiatric service dog would be the best bet for her when we first met my poodle it would calm her down a lot she took the dog out every time we went out and she seemed much calmer and happier she slowly would eat and the dog seemed to make her feel a lot better i am worried and want to help her without medication,it sounds like you have been a positive support for your fiancee there is no doubt that this situation is a great challenge for the both of you while it may feel like you are responsible for her health and happiness it is important that you understand that you on your own wont be able to resolve her mental health issues based on what you have explained it sounds like she needs to get a medical andor psychiatric evaluation whether or not she decides to take medication is her and your decision but keeping an open mind about treatment options is important i suggest that she see a therapist on her own in order to better understand and cope with her anxiety and depression especially given her suicidal thoughts you would also likely benefit from therapy individual or couples therapy in order to address how you are feeling and best learn how to support her and your relationship i wish the very best for both of you and hope that things will improve sooner than later
im unemployed just relocated i cant get approved for a place to live because of past mistakes which follow me to this day im depressed and on the verge of loosing my partner because im overwhelmed and have trouble functioning on a daily basis i see no light at the end of this tunnel and need some help i see no point in this chaos infested joke some call life,it sounds like you are feeling like things are hopeless and out of control and youre not sure what to do about it if you can find a competent therapist to work with together you may be able to come up with some strategies for alleviating the overwhelming distress that you are experiencing and gain some insight into what may be contributing to these challenges additionally a therapist may be able to support you in getting back on your feet in regards to work a place to live and showing up with your partner in a way that will be more satisfying to you
im supposed to stay here the rest of my academic life but ive never liked it here not even before i came ive never felt like i belong ive missed my country every second in the past four months and im just miserable im gaining weight doing nothing and crying for hours straight is it time to go back home or is it just culture shock,it sounds like you are feeling very unsure and out of place and the prospect of continuing to feel as you do now for the remainder of schooling seems daunting without getting to know more about you and your experiences here and at home it is hard to say what you should do however i think exploring these things with a competent therapist may help you to discover the answer
i am in high school and have been facing anxiety issues lately whenever i get close to being in a relationship some kind of anxiety takes over and keeps me from the relationship this anxiety causes me depression at times and even makes me want to vomit while a semirelationship should be joyous for me its an emotional nightmare i cant get to the bottom of ive had this before and had to leave the semirelationship to avoid throwing up every time i made contact with my crush what could be the reason behind this is it massive nerve problems is it a fear of a bad relationship while im not quite ready to be in one anyway i want to get to the bottom of this for a brighter future in which i can be in one i dont take medications and have no desire to i have read forums and ive talked about the issue with my sister who has faced similar problems,hi helenai felt a bit sad when i read this this is a new term for me semirelationship what does it mean i know that todays culture for young people is more of a hookup culture than a dating one maybe that means that you develop connections to people but you keep yourself from hoping for a full relationship because no one is doing that anymore that makes me feel sad i hear a lot of young women im not sure youre female but thats my guess say that they struggle with hookups because they cant let themselves hope for a phone call after a hookup research tells us that after a hookup college age women tend to feel used and unworthy and men tend to feel guilty i think this scenario works better for men than women but many of both genders are left unsatisfied in the endthis is only one possible explanation for your anxietythat your gut knows that it wants to feel fully coupled with someone but you struggle with whether its okay to want or expect thatmaybe take a moment and listen to anxiety anxiety tends to try to convince us that somethings wrong with us or something bads going to happen anxiety sometimes prefers to stay vague its more difficult to refute it then but you can try to clarify its whisperings by asking yourself these questions what am i afraid of what is the worst thing that might happen here then what might happen and what would be the worst part of that keep going until you find the very worst thing that might happen might someone not want youmight you feel rejectedor feel not good enoughyou might get hurtthen when you find that core fear you can look at your life and i bet youd find a place where that idea or fear originated a big moment or many smaller ones when you actually did feel or get rejected or abandoned or hurt in the end its a feeling youre trying to avoid not life or relationship and anxiety is trying to help you avoid it by making you overcautious but this doesnt work for you good with the help of a qualified therapist you can learn to talk back to anxiety and move forward in life and love with calm confidence
i just got out of a two year relationship i broke up with my boyfriend because he wasnt showing any affection at all he was talking to other women and lying about it it pushed me away and hurt me but im still in love with him a couple days after our breakup he was talking to someone new he told me he wasnt sure if he loved me i cried for several days lost my appetite and couldnt sleep our whole relationship was only us we didnt have friends it was me and him against the world we didnt talk to anyone else because we only wanted to talk to each other we hung out constantly and skyped to sleep every single night then when i cut myself we talked on skype he cried and told me im still in love with you i never stopped loving you and i cried tears of joy i asked multiple times if he loved me and asked to make sure he wasnt just saying that because of me being so depressed he promised and assured me he loved me he came over after that and we had sex because he wanted to he went the home that night and told me he didnt love me and he lied because he was scared he told me i wasnt attractive i wasnt beautiful to him and that i changed he also told me he was 100 sure hed never love me again im still in love with him why do i love him how do i stop just knowing that someone else is with him hurts me that i wasnt good enough and that im no longer beautiful hurts me i think i need a therapist but dont know if i should,i am very sorry for the pain you are suffering losing the most significant person in your life is extremely painful and breakups are often equated to a death there will certainly be a grieving process that you go through and time passing will allow the hurt to subside with that being said seeing a therapist is highly recommended as it sounds like continuous support may be necessary for healing to take place anytime sadness causes thoughts of suicide or self harm it is important to get help immediately a therapist can help you by validating your feelings and what you are going through while also working with you to move through the grieving process adopt new hobbies social outlets and goals for your future while starting over and trying out new ways of being may seem like a daunting task it will only make things easier and give you a sense of hope and purpose for your future with the new year right around the corner this could be viewed as a good time and opportunity to get reaquainted with yourself and set goals related to living a more fullfilling life hang in there with a support system in place and a healthy mindset things can only get easier best of luck to you
a friend of mine taking psychology advised i go to my doctor to check if i have major depressive disorder im afraid of the consequences of doing so if i do become diagnosed with major depressive disorder wont that go on my records i will never be able to become a counselor along with a list of other things i may be prohibited from im also afraid of taking any antidepressants this year my doctor gave me some for a dislocated hip i had a severe reaction and passed out moments after taking them everyone i know who has taken antidepressants says its a bad idea all around and youre better getting treatment without them im concerned they might take me to a clinic and force me to take medication because i am unable to make decisions on my own im not really suicidal but i am not really taking care of myself either someone also told me they still use electroshock therapy im not keen on that im wondering if i am better off just getting selfhelp and working things out on my own its just that ive been an emotional mess since i was in elementary school ive graduated now and tried to stay positive and be happy but i cannot deny i still am not good,i admire your courage for stating your view about antidepressants  questioning mainstream thinking and being in touch with your own views are signs of strength and clarity in a personas a therapist i always tell my patients to avoid antidepressantstheir effectiveness is in suppressing a persons mood and feelings  if someone does not know how they are feeling then they will have more difficulty in understanding themselves their uncertainties and hesitations and overall how they relate to others and what they expect from othersantidepressants mask how someone feelsin a crisis temporarily taking antidepressants may be helpful  if someone is so overwhelmed that they are not functioning then  suppressing unhappy feelings so that the person can get through a day may be of benefit for a short whilebasically respect and follow your own opinion about antidepressants  your view is shared by many  it is a minority opinion and very valid if you would like to shop for a therapist ask the person on the phone what their opinions are about antidepressantsideally you will eventually find a therapist who thinks in a way which is similar to you or at least similar enough that you will have a sense that you are able to trust working with them on whatever you define as problematici hope you will have an easy and productive therapist search
i have no real friends i have a girlfriend who irritates me but loves me to death i push her away and pushes me away were going through a breakup and i have nobody,having time all to yourself may be necessary so you have time to reflect on your own identity and values become more clear on what matters most to you and with this increased selfunderstanding be able to attract people who will feel like satisfying friendshaving a relationship with someone whom you push away and are pushed away with someone who is irritating seems to have limited benefit for each of youmaybe you are together from fear of being alone and being alone is exactly what you may now need in your life in order to draw more favorable people to you
ive been hospitalized twice once was last month for psychiatric help im on medicine but im struggling with fighting the negative thoughts irrational fears and loneliness the people around me arent helping much,if you are someone who usually has a job pays or contributes to household bills and generally manages your own daily life then here are some suggestionsstart with small changes in your life so that you will feel successful in developing little areas of personal happinesssince the people whom you currently are in your life arent helping much consider branching out your life so that you are with those with whom you do feel help youfollow your natural interests  if you like reading look online for a local book club  if you like watching birds look up a bird watching groupsocial isolation increases the intensity of negative feelingsalso the way healthcare is set up in the us psychiatrists spend 15 minutes asking a person questions and then giving them a pill script   there is almost no human interest in the personif youd like feeling better as a person then find people  relying only on our mental health system will keep you feeling low and unsteadyif your life is a little more sheltered and you are in a group home setting or your basic needs are taken care of by someone or some organization then similar advice is still validfind and participate in whatever human settings which appeal to you and are available on a somewhat regular basis
im going through a divorce with my wife of three years who ive known since the 4th grade and been involved with for seven years we just had a baby seven months ago and never got along with my mother who ive lived with for years i am now back with my mother because i have nowhere to go with this divorce looming im heart broken because i fell into a depression i havent seen my child in a while im having good and bad dreams and i feel hated can you help can you intervene can i speak with someone,its hard to accept the end of a marriage when its not your choice you feel powerless abandoned and unwanted your wife has the right to decide not to be in a marriage with you and a therapist can help you accept and move through this change that has broken your heart and left you lost you dont indicate why you havent seen your child and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby therapists dont intervene in these ways the marriage may be ending but your role as a loving father is only beginning  you can focus on giving your child the gift of two parents who respect each other
i have been diagnosed with adhd and experienced manic depression episodes i have problems with anger management apparently i also have an odd bipolar and split personality how can i be truly happy,the adhd and manic depressive episodes are terms other people told you that you haveyou dont have to accept these words to describe who you area lot of mental health in our country is about telling people whats wrong with them and giving pills for these so called conditions instead of helping a person know more about themselves in order to make good decisionsyou can be happy because nothing from the outside such as the names people have used to tell you who you are can interfere with your own wish to be happyothers can slow you down because of the selfdoubt and hurt feelings  no one can take happiness from you only they can make it harder to find and hold ontoanger management only works temporarily because it is a surface approachthink of the reason you are angry  this will be better to know so you will be able to address itthen you will not have anger to manage
i was married to a narcissist sociopath for 10 years during that time i was a general manager i used to help him financially and in other ways when we were together but things began to change he emotionally and sexually drained me i lost my spirit i used to be a very happy person but now i am a loner i left him and moved to another state currently im working as a server which makes me believe less in myself i feel pity for myself a lot but dont know what to do when i have money problems he does not help me he actually enjoys seeing me have a hard time in my life i need help,congratulations on leaving your marriageit is ok and natural to feel sadness loss uncertainty in direction hurt resulting from ending the marriagepossibly what you consider pity is a combination of these feelingsbe kind and caring toward who you are since you just put yourself through a major separation and need time to clear out the old emotions that connected you to your exthere is very very little chance of him helping you since he lacks compassion and empathymore likely any help he gave would be in order to manipulate youmaybe for now your server job is ok do you have more time to concentrate on taking care of your emotionsyou were a manager once you can be a manager again when you feel ready for doing sogood luck
i always feel like im not good enough and it literally is so hard living i dont know how to talk to my parents about it,are you a teen  this is a really hard problem for more teens and adults than let on  when i was about 15 i remember asking my parents friend herman whether life gets any easier when you get older  he said the problems are actually harder but you gain the ability to deal with them better  ive been an adult a long time now and that is so true if you need someone to talk to consider a teacher or a school guidance counselor or someone you respect maybe in church  if theyre good and they dont know how to help you they may know how to get you to someone who can  also the idea of not being good enough is a common psychological event  in cbt its called a core belief but i call it a core lie in my book living yes a handbook for being human  if you are serious about changing yourself read about it  at wwwlivingyesorg and pick up a copy there or on amazon  i hope this was helpful  the future is filled with possibility if we dont prejudge it  mark wwwmarkmorrislcswcom and wwwlivingyesorg
i have manic depression and last summer was very very bad i have recurring nightmares and i avoid anything that will give me a similar feeling as i did that summer,a ptsd diagnosis requires an event which occurred at least 6 months prior to the symptoms  depression is a common symptom of ptsd but depression can come from many other sources as well  in the end diagnoses are systems of behavioral labels  if you believe that one label ptsd is worse than another depression you are creating a false hierarchy   consider consulting a cbt therapist such as the fine clinicians listed in academyofctorg  you may also want to look at my book living yes for many ideas about challenging your thinking and improving you mood wwwlivingyesorg i hope you feel better soon  mark  wwwmarkmorrislcswcom and wwwlivingyesorg
i have manic depression and last summer was very very bad i have recurring nightmares and i avoid anything that will give me a similar feeling as i did that summer,in general the answer is no depression can not not generally cause ptsd your question does make a lot of sense though depression is a common symptom of ptsd a counselor in your area should be able to help you whats going on  either feelings of depression ptsd or both
my doctor thinks that seeing a psychiatrist will help with my depression and anxiety now my anxiety is worse what do i do writing on here has taken every bit of strength i have left,did you take the medication the way the psychiatrist prescribed it  did you follow up with herhim to report how it was going  different medications work differently with different people  its not always the first one that helps  and some of the medications take some time to have an effect  give the doctor the chance to help you i suggest you find a certified cbt therapist to help you examine your thinking  wwwacademyofctorg has listings of the finest cbt clinicians  in the meantime do some anxiety fasting by taking a few minutes to do something nice for yourself right now  i hope you feel better soon  mark wwwmarkmorrislcswcom and wwwlivingyesorg
i am always down and out could this be postpartum depression,probably  i always tell the new parents i work with and this is just as true for dads as it is for moms that if you are feeling off seek help  postpartum support international wwwpostpartumnet is a great place to start finding resources and locating support
my last relationships have ended horribly they just up and abandoned me one of them i have never gotten closure with over it leaving me emotionally wrecked i know somethings wrong with me but i dont know how to even start trying to better myself i get into these depressed like states whenever anyone i care about is too busy to be with me i know that i shouldnt act like that because people are genuinely busy but i feel like theyre doing it just because they dont want to be around me,frequently when working with clients i utilize the abc model developed by albert ellis the founder of rational emotive behavior theory the theory basically states that you can not control an event but you can control your reaction to the emotions associated with said event for instance here is an examplea action or event you need to talk to someone and that person is not calling you backb behavior or response you begin to tell yourself that this person is too busy for me or i am not important to this personc consequence you feel depressedif you look at the model b has a direct effect on c the thought is if you change your reaction to a then c will have a better consequence such asa stays the sameb this is what you change this person must be busy they will call me back when they get a chance or i can call someone else to lean on for support until this person is availablec decreased feelings of depression  overall functioning improvesthis is just an example but if you actively work to replace the negative thought patterns that effect your behavior studies show that your overall outlook and mood will improve if this model resonates with you i recommend feeling better getting better staying better by alber ellis in addition looking for support groups in your area are a great source of support when you are feeling abandoned or alone
i dont know whats wrong with me at times i can be really happy excited ill talk fast and i want to do things but lately ive been staying up way later and sleeping too much i dont hang out with friends i dont really have them i feel nothing worthless i want to do nothing i have no interest in anything all i usually do is stay in my room i want to be happy i want to be nice whats wrong with me,im sorry to hear that you are feeling as if youre in a slump first of all nothing is wrong with you many people report similar symptoms have you ever talked with a physician regarding your symptoms two extreme emotions such as feeling extremely happy and then feeling extremely low for a length of time may indicate a mood disorder i think it would be best to talk with your doctor or a therapist to help pinpoint the issue causing themits possible that it could just be certain stressors in your life that are causing the two extremities but you definitely want to rule out any mental health issues if it is in fact mental health related there are many medications or therapy choices that can help thanks for reaching out i hope that you will feel back on track soon
ive have lived for sometime with depression but things have gotten a lot better but why is it so hard to get over anxiety and social isolation,the best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medical doctor and therapy to help you understand the thoughts feelings and behaviors that are causing the depression and anxiety in the first place and then to replace these with more positive thoughts and behaviors this is not something that anyone should just œwhite knuckle and try to get through on their own with no help cognitive behavioral therapy is a technique that has been proven helpful for depression and anxiety this takes a therapist trained in cbt there are some things in life that you cannot change and must learn to accept a lot of people spend time trying to change things that they have no control over this may be the behavior of someone else in your life or it could be a situation that you cannot change such as the recent death of a loved one a lost relationship or an accident or illness which has left you handicapped in cases like this what can change is your attitude and thoughts about the situation that you now find yourself in one thing that is inevitable about life is that stuff happens and it is not always pleasant some people take these unpleasant occurrences very hard and it throws them into a deep depression other people seem to be able to handle lifes ups and downs and bounce back they do this with having positive coping skills in their life learning new coping skills is something your therapist can help you witha lot of people are so focused on trying to change the things in their life that they cannot change and are ignoring the things that they can change there are things that you can do here is a quote for you to consider œyou are getting almost everything that you are getting based on the choices that you have made you will continue to get the same thing out of life until you make some changes another quote i like is œyou will find a way or you will find an excuse dont ever say that you have no choice everyone has a choice you might not particularly like any of the choices that you are facing but you do have choices not happy in a relationship you can leave it hate your job get a new one if it matters to you you will find a way dont sit there complaining about everything but not doing anything different or bettertake care of yourself exercise is very important not only for your physical health but for your mental health as well eating right and exercising will help you feel better about yourself also find a meditation that works for you there are progressive muscle relaxation exercises visual and mental meditations and many many more start making some positive changes in your life today you can do it
im in a state of depression right now who can i talk to ive been sick in a lot of pain and crying dont know where to turn,first of all if youre sick and in pain have you seen your doctor if you have a chronic illness and pain this can often lead to depression and is very common youve taken the first step to dealing with it you can talk to your doctor even if your depression isnt related to your health he or she can either look at prescribing you an antidepressant or can refer you to a psychologist or psychiatristif thats not really an option for you there are also helplines local or national or support groups where people dealing with similar issues can talk to each other if you cant find any in your area newspapers usually publish this information there are online support groups as well
ive been married for 3 years and i have two kids during my 3years married my husband cheated on me twice the second time really got to me and at my lowest i hurt him back we arent communicating as well as i would like what do i do,hi there thank you reaching out for help it takes a lot of courage for someone that is being abused to reach out for help i want you to know that i am here to help you in any way that i can first and foremost you did not mention whether or not you had children yourself by this man im going to assume there are so the most important thing right at this moment is asking yourself if you and your children are safe is the boyfriend currently living in the home or is he coming and going if he is coming and going or currently living in the home my suggestion for you to is to pack a bag for you and your children and go somewhere safe ie family members home friend or a shelter temporarily i cannot stress this enough although some people tend to minimize their abusers behavior ie they only do it when they are drinking they only do it when they are mad its those individuals that find themselves or their children in a serious situation so you can never take abuse physical or mental lightly because you never know what is going through that persons mind at that particular time its always better to be safe than sorry secondly it will not be safe helpful or productive to attempt to talk to the abuser about your relationship abusers often times try and manipulate you into staying by apologizing or attempting to justify their behaviors this is the time you would want to go see a magistrate in order to get a protective order for you and your childrenits unfortunate that your significant other was involved with another women causing pregnancy however that is no longer your concern your concern at this point is keeping yourself and your children safe i would also suggest counseling for you and your children in order to work through these issues i hope this was helpful and please stay safe and take care of yourself
when im in large crowds i get angry and i just cant deal with people i dont really like other people i prefer animals they make me nervous and scared i lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying i have more conversions in my head than i do with actual people i dont know whats wrong with me and why i feel this way what should i do,what you are experiencing is totally normal and these emotions mean you are human humans are social creatures who were created to be in connection with others but sometimes our life experiences or genetics can make that more difficult for some of us it is possible that these reactions are based on negative reactions you have had with others in the past maybe your family or other traumatic interactions with others it is also possible that they are caused by an underlying condition such as anxiety or depression which may cause you to be more uncomfortable around others or annoyed by others some people are also more bothered by crowded spaces loud interactions and the actions of others of course you prefer animals me too they provide unconditional love and support do not judge you and do not require you to have conversations with them the fact that you have conversations in your head at night tells me that although you say you do not like people you are craving some social connection what is probably the case is that you were never really taught how to interact and have those conversations the good news is that there is nothing wrong with you you just need a little help learning how to have these conversations and taking some healthy risks to initiate conversations and that is something that i help many of my clients with in therapy
when im in large crowds i get angry and i just cant deal with people i dont really like other people i prefer animals they make me nervous and scared i lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying i have more conversions in my head than i do with actual people i dont know whats wrong with me and why i feel this way what should i do,i am very sorry to hear that you are going through this while animals can be a wonderful way to experience emotional support you may want to consider opening up to a life coach or therapist to discuss some of your concerns you are not alone and many people are experiencing very similar anxieties a life coach or professional therapist could help to guide you through these emotions and refer you to additional professional help if needed it sounds as though you want to address some of these issues by first asking the question finding additional support from a trained professional whom you feel comfortable with could be the best way to get the help that you need i wish you the best of luck on your journey
when im in large crowds i get angry and i just cant deal with people i dont really like other people i prefer animals they make me nervous and scared i lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying i have more conversions in my head than i do with actual people i dont know whats wrong with me and why i feel this way what should i do,you are a unique individual exhibiting some of the traits of a specific type of temperament through temperament counseling you can come to know accept and manage your godgiven temperament to become all that god intended there is nothing wrong with you  god loves you as you are and wants to help you balance your temperament needs
when im in large crowds i get angry and i just cant deal with people i dont really like other people i prefer animals they make me nervous and scared i lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying i have more conversions in my head than i do with actual people i dont know whats wrong with me and why i feel this way what should i do,the thing i picked up immediately in what youre asking is how you dont like other people because they make me nervous and scared if someone said that to me in a therapy session id want to understand this much more with them and what this nervous and scared experience is all about perhaps starting with the question whats the earliest memory you have of feeling uncomfortable around people the idea would be to try to understand all of what it means for you to be around people and the history of the experience without labeling it wrong or passing judgment on itfrom there what might come is that certain people and their character traits might be harder to be around for you because of experiences that youve had with similar situations in your life or it could certainly be something completely different it would be most important to understand it much more deeply considering the amount of distress it causes you and in doing so we could begin to see it as normal for me
when im in large crowds i get angry and i just cant deal with people i dont really like other people i prefer animals they make me nervous and scared i lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying i have more conversions in my head than i do with actual people i dont know whats wrong with me and why i feel this way what should i do,what youre experiencing is anxiety its actually quite common good news  youre not alone in this experience that being said it can be so frustrating and upsetting to have to contend with the anxious thoughts that come up in our heads sometimes without any warning additionally nighttime is a particularly vulnerable time for a lot of people wherein anxiety rears its ugly head even more so we arent as distracted at night and our resources are more depleted so we cant fight back against these thoughts as effectively as usual it can be helpful to externalize our anxiety give it a name like judy or bill for example or perhaps something more sinister like lord garmadon the naming is all up to you what comes to mind for you when you think of your anxiety now what is a name thats fitting the act of externalizing separates us from the anxiety a bit and makes it a little more tolerable if you can think of your anxiety as just something else to handle rather than it being a part of your personality this is usually helpful additionally i recommend not avoiding the situations that make you feel this way our brains have to learn what is an actual threat and what is not right now your brain thinks that crowds are a threat if you can practice some deep breathing and stay in the crowd you will start to teach or rewire your brain letting it know that the crowd is not dangerous to you think of your brain as an overprotective parent your brain is overreacting in these situations to try and keep you safe it just needs to learn that the situation is not a danger to begin with
